IDLocator,L_Route,L_Dir,L_Lane,L_Section
9859,132_1,5,1,142740
9860,138,5,1,142900
9861,144,5,1,142980
9862,275_1,6,1,140575
9863,274,6,1,140785
9864,273_1,6,1,141065
9865,139,6,1,141895
9866,143,6,1,142485
9867,132_1,6,1,142745
9868,138,6,1,142905
9869,144,6,1,142985
9870,5394,5,1,142280
9871,232_1,5,1,142350
9872,5394,6,1,142285
9873,232_1,6,1,142355
9874,236_1,5,1,142110
9875,234_1,5,1,142580
9876,235,5,1,143440
9877,233_1,6,1,144390
9878,237_1,5,1,145100
9879,236_1,6,1,142115
9880,234_1,6,1,142585
9881,235,6,1,143445
9882,233_1,5,1,144395
9883,237_1,6,1,145105
9884,147-1,5,1,143820
9885,136,5,1,144840
9886,239,5,1,144950
9887,240_1,5,1,144960
9888,238_1,5,1,145020
9889,129_1,5,1,145500
9890,147-1,6,1,143825
9891,136,6,1,144845
9892,239,6,1,144955
9893,240_1,6,1,144965
9894,238_1,6,1,145025
9895,129_1,6,1,145505
9896,219_5,5,1,143650
9897,218-1,5,1,144090
9898,5176-1,5,1,144270
9899,218_1,5,1,144380
9900,204_1,5,1,144580
