rsection,rbeg_chg,rend_chg,rlength,rdir,BEGLAT,BEGLONG,ENDLAT,ENDLONG,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10
624500,0.875,1.136,0.261,5,0.430494978,0.955766608,0.430528176,0.955783801,651-1_6,5,1,624500,,,,,,
624502,0,0.303,0.303,5,0.43052846,0.955783352,0.430505716,0.95574957,651-1_1,5,2,624502,,,,,,
624502,0.303,0.421,0.118,5,0.430505716,0.95574957,0.430490404,0.955738023,651-1_2,5,2,624502,,,,,,
624502,0.421,0.646,0.225,5,0.430490404,0.955738023,0.43046519,0.955744157,651-1_3,5,2,624502,,,,,,
624502,0.646,0.757,0.111,5,0.43046519,0.955744157,0.430479631,0.955755043,651-1_4,5,2,624502,,,,,,
624502,0.757,0.875,0.118,5,0.430479631,0.955755043,0.430494978,0.955766608,651-1_5,5,2,624502,,,,,,
624502,0.875,1.136,0.261,5,0.430494978,0.955766608,0.430528176,0.955783801,651-1_6,5,2,624502,,,,,,
624503,0,0.303,0.303,5,0.43052846,0.955783352,0.430505716,0.95574957,651-1_1,5,3,624503,,,,,,
624503,0.303,0.421,0.118,5,0.430505716,0.95574957,0.430490404,0.955738023,651-1_2,5,3,624503,,,,,,
624503,0.421,0.646,0.225,5,0.430490404,0.955738023,0.43046519,0.955744157,651-1_3,5,3,624503,,,,,,
624503,0.646,0.757,0.111,5,0.43046519,0.955744157,0.430479631,0.955755043,651-1_4,5,3,624503,,,,,,
624503,0.757,0.875,0.118,5,0.430479631,0.955755043,0.430494978,0.955766608,651-1_5,5,3,624503,,,,,,
